params,mean_test_score,rank_test_score
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.0010661731756017219,79
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",0.0010661731756017219,79
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.0010661731756017219,79
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.06847415883592319,70
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.06847415883592319,70
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.06847415883592319,70
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",0.3442573532317959,58
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",0.3442573532317959,58
"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",0.3442573532317959,58
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.5}",0.005436481372158057,73
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.6}",0.005436481372158057,73
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.8}",0.005436481372158057,73
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.5}",0.0757682574626281,64
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.6}",0.0757682574626281,64
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.0757682574626281,64
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 500, 'subsample': 0.5}",0.34960055202202983,52
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 500, 'subsample': 0.6}",0.34960055202202983,52
"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 500, 'subsample': 0.8}",0.34960055202202983,52
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",0.00442056463826442,76
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.00442056463826442,76
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.00442056463826442,76
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.07494697115204481,67
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",0.07494697115204481,67
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.07494697115204481,67
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.5}",0.3548128236681154,46
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.6}",0.3548128236681154,46
"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",0.3548128236681154,46
